iter	Passed	Remaining
471	684	765
472	685	764
473	687	762
474	688	761
475	690	760
476	691	758
477	693	757
478	694	755
479	695	753
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	740
487	705	739
488	706	738
489	707	736
490	708	734
491	709	732
492	710	730
493	711	728
494	712	726
495	713	725
496	714	723
497	715	721
498	716	719
499	717	717
500	719	716
501	720	715
502	722	713
503	723	711
504	724	710
505	725	708
506	727	707
507	728	705
508	729	703
509	730	701
510	731	699
511	732	697
512	733	696
513	735	695
514	736	693
515	738	692
516	739	690
517	740	688
518	741	687
519	742	685
520	743	683
521	744	682
522	745	680
523	746	678
524	748	677
525	749	675
526	751	674
527	752	672
528	753	670
529	754	669
530	756	668
531	758	666
532	759	665
533	760	663
534	761	661
535	762	660
536	763	658
537	764	656
538	765	654
539	766	653
540	767	651
541	768	649
542	770	648
543	771	646
544	772	645
545	774	643
546	775	642
547	776	640
548	777	638
549	778	637
550	779	635
551	780	633
552	781	632
553	782	630
554	784	629
555	786	628
556	787	626
557	788	624
558	789	622
559	790	621
560	791	619
561	792	617
562	793	616
563	794	614
564	795	612
565	796	610
566	797	609
567	799	607
568	800	606
569	802	605
570	803	603
571	804	602
572	805	600
573	807	598
574	808	597
575	809	595
576	810	593
577	811	592
578	812	590
579	813	589
580	815	588
581	816	586
582	818	585
583	819	583
584	820	581
585	821	580
586	822	578
587	823	577
588	825	575
589	826	574
590	827	572
591	828	571
592	830	569
593	831	568
594	832	566
595	834	565
596	835	563
597	836	562
598	837	560
599	838	558
600	839	557
601	840	555
602	841	553
603	842	552
604	844	551
605	845	549
606	846	548
607	847	546
608	848	544
609	849	543
610	850	541
611	851	539
612	852	538
613	853	536
614	854	535
615	856	533
616	857	532
617	858	530
618	860	529
619	861	527
620	862	526
621	863	524
622	864	523
623	865	521
624	866	519
625	867	518
626	868	516
627	869	514
628	870	513
629	871	512
630	873	510
631	874	509
632	875	507
633	876	506
634	878	504
635	879	503
636	880	501
637	881	500
638	882	498
639	883	496
640	884	495
641	885	493
642	887	492
643	888	491
644	889	489
645	891	488
646	892	486
647	893	485
648	894	483
649	895	482
650	896	480
651	898	479
652	899	477
653	901	476
654	902	475
655	904	474
656	905	472
657	907	471
658	908	470
659	909	468
660	910	467
661	911	465
662	913	464
663	914	462
664	915	461
665	916	459
666	918	458
667	919	456
668	920	455
669	922	454
670	924	453
671	925	451
672	927	450
673	929	449
674	931	448
675	932	447
676	934	445
677	935	444
678	937	443
679	938	441
680	940	440
681	942	439
682	944	438
683	946	437
684	947	435
685	949	434
686	950	433
687	952	431
688	953	430
689	955	429
690	957	428
691	959	427
692	961	425
693	962	424
694	964	423
695	965	421
696	968	421
697	970	419
698	971	418
699	973	417
700	974	415
701	976	414
702	977	412
703	978	411
704	980	410
705	982	409
706	985	408
707	986	406
708	989	406
709	991	404
710	992	403
711	993	402
712	995	400
713	996	399
714	997	397
715	998	396
716	1000	394
717	1001	393
718	1003	392
719	1005	390
720	1006	389
721	1007	388
722	1009	386
723	1010	385
724	1011	383
725	1013	382
726	1014	380
727	1015	379
728	1017	378
729	1018	376
730	1020	375
731	1021	373
732	1023	372
733	1024	371
734	1026	370
735	1027	368
736	1029	367
737	1030	365
738	1033	364
739	1034	363
740	1036	362
741	1037	360
742	1038	359
743	1039	357
744	1040	356
745	1041	354
746	1042	353
747	1043	351
748	1044	350
749	1046	348
750	1047	347
751	1049	346
752	1050	344
753	1051	342
754	1052	341
755	1053	339
756	1054	338
757	1055	336
758	1056	335
759	1057	333
760	1058	332
761	1059	330
762	1061	329
763	1062	328
764	1063	326
765	1064	325
766	1066	323
767	1067	322
768	1068	320
769	1069	319
770	1070	317
771	1071	316
772	1072	314
773	1073	313
774	1074	311
775	1075	310
776	1077	309
777	1078	307
778	1080	306
779	1081	304
780	1082	303
781	1083	302
782	1084	300
783	1085	299
784	1086	297
785	1087	296
786	1088	294
787	1090	293
788	1093	292
789	1094	290
790	1095	289
791	1096	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1102	280
797	1103	279
798	1105	278
799	1107	276
800	1108	275
801	1109	274
802	1111	272
803	1112	271
804	1113	269
805	1114	268
806	1116	266
807	1117	265
808	1118	264
809	1119	262
810	1121	261
811	1122	259
812	1123	258
813	1125	257
814	1126	255
815	1128	254
816	1129	252
817	1130	251
818	1131	250
819	1132	248
820	1134	247
821	1136	246
822	1137	244
823	1138	243
824	1139	241
825	1141	240
826	1142	238
827	1143	237
828	1144	236
829	1146	234
830	1147	233
831	1149	232
832	1151	230
833	1152	229
834	1153	227
835	1154	226
836	1156	225
837	1157	223
838	1158	222
839	1160	220
840	1161	219
841	1164	218
842	1166	217
843	1167	215
844	1168	214
845	1170	213
846	1171	211
